12.6	8.5	6.5	4.6	0.9	-2.6	-10.8	-18.2
12.1	7.5	5.3	3.4	-0.6	-4.2	-12.4	-19.5
12.6	8.3	6.4	4.6	1.2	-2.1	-9.2	-15.3
14.1	11.2	10	8.8	6.4	4.1	-0.9	-5.3
15.7	14.5	13.8	13.3	12.1	11.1	8.6	6.3
17	17	17	17	17	17	17	17
18.1	19.1	19.6	20.1	21.1	22.1	24.6	27.1
19.1	21	21.8	22.9	24.8	26.9	32	37.4
19.9	22.8	24	25.7	28.7	31.9	40.2	44
20.7	24.7	26.5	28.7	33	37.5	44	44
21.7	26.7	29.4	32.1	38	44	44	44
21.9	28.4	31.7	35.1	42.5	44	44	44
22.1	27.6	30.6	33.9	41.2	44	44	44
20.2	23.9	25.7	27.7	32.1	32.3	32.3	32.3
18.4	19.9	20.7	21.5	23.2	23.8	23.8	23.8
17	17	17	17	17	17	17	17
15.9	14.9	14.3	13.8	12.6	11.5	10.2	10.2
14.9	13	12.2	11.2	9.2	7.2	2.2	1.7
14.1	11.5	10.1	8.9	6.3	3.6	-2.8	-9.2
13.3	9.9	8.4	6.8	3.5	0.3	-7.1	-14.3
12.6	8.5	6.5	4.6	0.9	-2.6	-10.8	-18.2
