17.3	12.9	10.8	8.8	5	1.4	-6.9	-14.2
17.1	12.2	10	7.9	3.9	0.4	-7.9	-14.9
17.6	13.9	12.1	10.3	6.9	3.8	-3.1	-9
19.6	16.9	15.7	14.5	12.3	10.2	5.4	1.2
20.8	19.7	19.1	18.6	17.5	16.5	14.1	11.8
22	22	22	22	22	22	22	22
23.1	24.1	24.5	25	26	27	29.6	32.2
24.1	26	27	27.9	30	32.1	37.6	43.5
24.9	27.9	29.3	31.1	34.4	37.7	44	44
26	30.3	32.5	34.6	39.5	43.9	43.9	43.9
27.1	32.6	35.6	38.7	44	44	44	44
26.9	34	37.4	41	43.9	43.9	43.9	43.9
26.8	31.9	34.7	37.7	44	44	44	44
24.9	27.9	29.5	31.3	34.9	39	44	44
23.2	24.5	25.2	25.9	27.4	29	32.7	32.7
22	22	22	22	22	22	22	22
20.9	19.9	19.4	18.9	17.9	16.8	14	11.3
19.9	18.3	17.2	16.2	14.3	12.5	7.7	2.9
19.1	16.5	15.1	13.6	11.1	8.5	2.2	-3.9
18.3	14.6	12.8	11.2	7.9	4.7	-2.8	-9.8
17.3	12.9	10.8	8.8	5	1.4	-6.9	-14.2
