-18	-18	-18	-18	-18	-18	-18	-18
-19.1	-19.4	-19.6	-20.1	-20.8	-21.4	-23	-24.4
-19.6	-20.4	-21.2	-22	-23.1	-24.4	-27.3	-30.2
-20.2	-21.3	-22.4	-23.1	-24.9	-26.7	-30.7	-34.7
-21.4	-22	-22.9	-24.5	-26	-27.9	-32.8	-37.9
-20.1	-22.2	-23.3	-24.3	-26.4	-28.6	-34	-39.6
-21.4	-22	-22.9	-24.5	-26.3	-28.2	-34	-39.8
-20.2	-21.3	-22.4	-23.5	-25.3	-27.2	-32.4	-38.1
-19.6	-20.9	-21.5	-22.2	-23.6	-25.2	-29.3	-34
-19.1	-19.5	-20.1	-20.3	-21.1	-22	-24.4	-27.2
-18	-18	-18	-18	-18	-18	-18	-18
-16.9	-16.5	-15.9	-15.7	-14.8	-13.9	-11.4	-8.5
-16.4	-15.1	-14.5	-13.7	-12.1	-10.5	-6.1	-1
-15.8	-14	-13.2	-12.5	-10.3	-8.4	-2.7	3.4
-14.6	-14	-13.1	-11.5	-9.4	-7.2	-1.4	5
-15.9	-13.8	-12.7	-11.6	-9.4	-7.2	-1.6	4.4
-14.6	-14	-13.1	-11.5	-10	-8.1	-2.9	2.3
-15.8	-14.7	-13.6	-12.9	-11.1	-9.6	-5.3	-1.2
-16.4	-15.6	-14.8	-14.3	-12.9	-11.7	-8.8	-5.9
-16.9	-16.6	-16.4	-15.9	-15.3	-14.6	-13.1	-11.6
-18	-18	-18	-18	-18	-18	-18	-18
