0.5	-2.8	-4.3	-5.9	-8.8	-11.6	-18	-23.8
0.6	-2.5	-3.4	-4.9	-7.7	-10.2	-16.2	-21.7
1.8	-0.8	-1.9	-3	-5.2	-7.3	-12.3	-17
2.4	0.8	0	-0.8	-2.3	-3.7	-7.3	-10.9
2.9	2.4	1.9	1.6	0.8	0	-1.9	-2.8
4	4	4	4	4	4	4	4
5.1	5.6	6.1	6.6	7.4	8.4	10.8	10.8
5.6	7.5	8.5	9.3	11.4	13.4	19	19.3
6.9	9.5	10.9	12.4	15.6	19	28.6	33
7.4	11.1	13.2	15.1	19.4	24.1	37.9	44
7.7	11.8	13.9	16.1	20.8	26	41.5	44
7.4	10.8	12.9	14.8	18.8	23.3	36.3	44
6.2	9.1	10.6	12	15	18.2	27.1	37.9
5.6	7.5	8.3	9.1	11	13	18.2	24.1
5.1	5.6	6.1	6.5	7.3	8.2	10.6	13.1
4	4	4	4	4	4	4	4
2.9	2.4	1.9	1.6	0.8	0	-1.9	-3.9
2.4	0.8	0	-0.8	-2.4	-3.9	-7.5	-11
1.8	-0.8	-2.2	-3.3	-5.5	-7.6	-12.6	-17.3
0.6	-2.5	-3.7	-5.2	-8	-10.5	-16.5	-22.1
0.5	-2.8	-4.3	-5.9	-8.8	-11.6	-18	-23.8
