19	19	19	19	19	19	19	19
17.7	16.6	16	15.5	14.4	13.4	11.2	9.1
16.6	14	12.9	11.8	9.7	7.7	3.4	-0.5
15.7	12.4	10.9	9.5	6.6	4.1	-1.9	-7.2
15.6	12.2	10.4	8.9	6	3	-3.7	-10
15.7	12.6	11	9.5	6.6	3.7	-3.3	-9.9
15.6	14.1	11.9	10.7	7.9	5.1	-1.6	-8.3
16.8	14.2	13.1	12	9.5	7.2	1	-5.4
17.4	15.5	14.5	13.7	11.8	9.8	4.7	-0.8
17.9	16.9	16.4	15.8	14.7	13.5	10.2	6.4
19	19	19	19	19	19	19	19
20.3	21.8	22.6	23.4	25.2	27.1	32.3	32.3
21.9	24.9	26.5	28.3	32.1	36.4	44	44
23	26.7	28.8	31.1	35.9	41.3	44	44
22.7	26.7	28.8	31	35.6	40.5	44	44
22.4	25.9	27.8	29.6	33.5	37.6	44	44
22.4	25.5	26.4	27.9	31	34.3	42.9	44
21.2	23.8	24.9	26	28.6	31	37.3	44
20.6	22.5	23.3	24.1	25.9	27.6	31.7	36
20.1	21.1	21.4	21.9	22.8	23.7	25.8	27.9
19	19	19	19	19	19	19	19
