12.6	8.6	6.6	4.8	1.2	-2.2	-10	-16.9
12.4	8.1	6.2	4.1	0.6	-2.8	-10.5	-17.1
13	9.7	7.9	6.4	3.4	0.5	-5.9	-11.6
14.6	12.2	11.2	10.1	8.2	6.2	1.7	-2.3
15.9	14.9	14.3	13.8	12.8	11.9	9.6	7.5
17	17	17	17	17	17	17	17
18.1	19.1	19.4	19.9	20.8	21.8	24.2	26.7
18.6	20.7	21.8	22.6	24.5	26.6	31.8	37.5
19.9	22.5	24	25.7	28.7	31.9	40.7	44
20.7	24.7	26.8	29	33.4	38.3	44	44
21.7	26.8	29.5	32.4	38.5	44	44	44
21.9	27.5	30.6	33.9	40.9	44	44	44
21	25.7	28.3	30.8	36.4	42.8	44	44
19.4	22.3	23.9	25.3	28.6	32.2	42.7	43.8
18.1	19.3	20	20.6	22	23.4	27.4	29
17	17	17	17	17	17	17	17
15.9	14.9	14.6	14.1	13.1	12.1	9.5	6.8
15.4	13.3	12.5	11.7	9.8	8	3.5	-1
14.1	11.9	10.4	9.3	6.7	4.2	-1.7	-7.5
13.3	9.9	8.4	6.8	3.7	0.7	-6.4	-13
12.6	8.6	6.6	4.8	1.2	-2.2	-10	-16.9
