3	3	3	3	3	3	3	3
1.6	0.3	-0.3	-0.9	-2	-3.1	-5.4	-7.5
0.6	-2	-3.1	-4.1	-6.2	-8.1	-12.6	-16.5
0.1	-2.9	-4.3	-5.8	-8.4	-10.9	-16.8	-22.2
-0.4	-3.5	-4.7	-6.2	-9	-11.8	-18.6	-25
-0.1	-3.1	-4.5	-6	-8.9	-11.8	-19	-26.1
-0.4	-1.9	-4.1	-5.3	-8.4	-11.1	-18.3	-25.9
0.8	-2.1	-3.2	-4.7	-7.2	-9.8	-16.8	-24.5
0.9	-1	-2	-3.1	-5.3	-7.5	-13.8	-18.8
1.8	0.6	-0.1	-0.7	-2.2	-3.7	-6.8	-6.8
3	3	3	3	3	3	3	3
4.5	6.2	7.1	8.1	10.1	12.4	12.8	12.8
5.9	8.8	10.4	12.1	15.8	19.8	24.8	24.8
6.3	9.9	11.7	13.6	17.6	22	34.9	44
6.4	9.8	11.6	13.5	17.2	21.2	32.4	44
6.1	9.3	11	12.6	16	19.5	28.8	39.1
6.4	7.9	10.1	11.6	14.4	17.4	24.9	32.9
5.2	7.8	8.9	10.3	12.6	15	20.8	26.8
5.1	6.7	7.5	8.6	10.2	12	16.1	20.1
4.1	5.2	5.7	6.2	7.2	8.1	10.3	12.4
3	3	3	3	3	3	3	3
