-0.4	-3.7	-5.2	-6.8	-9.7	-12.4	-18.9	-24.8
-0.4	-3.5	-5	-6.5	-9.6	-12.1	-18.3	-24
0.1	-2.5	-3.6	-5	-7.2	-9.5	-14.7	-19.5
1.4	-0.5	-1.5	-2.3	-3.9	-5.4	-9.1	-12.6
1.9	1.4	0.9	0.4	-0.4	-1.2	-3.1	-5
3	3	3	3	3	3	3	3
4.1	4.6	5.1	5.4	6.3	7.1	9.2	11.4
4.6	6.2	7	7.8	9.6	11.3	15.9	21
5.2	7.8	9.2	10.3	13.2	15.8	23.5	32.3
6.4	9.5	11	12.9	16.6	20.6	31.8	44
6.7	10.6	12.7	14.8	19.4	24.4	39.1	44
6.7	10.7	12.8	15	19.6	24.6	40.1	44
5.9	9.2	10.7	12.5	16.2	20.2	32.1	44
5.1	7	8	9.1	11.4	13.8	20.7	29.2
4.1	4.6	5.3	5.8	6.8	7.9	10.8	14.1
3	3	3	3	3	3	3	3
1.9	1.4	0.9	0.6	-0.3	-1.1	-3.2	-5.4
1.4	-0.2	-1	-1.5	-3.1	-4.7	-8.4	-12.2
0.8	-1.4	-2.5	-3.6	-5.8	-7.9	-13	-17.9
-0.4	-3.5	-4.1	-5.6	-8.1	-10.6	-16.7	-22.3
-0.4	-3.7	-5.2	-6.8	-9.7	-12.4	-18.9	-24.8
