6.1	2.4	0.6	-1.1	-4.4	-7.5	-14.9	-21.5
5.7	2	0.1	-1.7	-5.1	-8.4	-15.5	-21.9
6.7	3	1.3	-0.2	-3.1	-5.8	-12	-17.5
7.6	5.2	4.2	3.3	1.2	-0.7	-5	-9
8.9	7.9	7.3	6.8	5.9	4.9	2.7	0.7
10	10	10	10	10	10	10	10
11.1	11.6	12.3	12.8	13.7	14.6	16.8	19.2
11.6	13.5	14.5	15.3	17.1	19	23.7	28.8
12.9	15.1	16.6	18	20.7	23.6	31.4	40.1
13.4	16.8	18.9	20.8	24.7	28.8	40.5	44
14.2	18.6	21	23.5	28.7	34.4	44	44
14.6	19.5	22.3	25.1	31.2	38	44	44
14	18.4	20.7	23.2	28.6	34.7	44	44
12.4	15.3	16.9	18.4	21.7	25.3	33.2	33.2
11.1	12.4	13	13.7	15	16.5	20.4	20.4
10	10	10	10	10	10	10	10
8.9	7.9	7.6	7.1	6.2	5.2	2.5	-0.3
8.4	6.5	5.7	4.7	3	1.3	-3.2	-7.7
7.8	4.9	3.8	2.7	0.2	-2.1	-7.9	-13.6
6.6	3.5	2	0.5	-2.3	-5.1	-11.9	-18.2
6.1	2.4	0.6	-1.1	-4.4	-7.5	-14.9	-21.5
