15	15	15	15	15	15	15	15
13.8	12.7	12.1	11.6	10.6	9.7	7.5	5.6
12.6	10.5	9.2	8.3	6.3	4.5	0.2	-3.5
11.7	8.8	7.3	6.2	3.6	1	-4.7	-9.8
11.6	8.5	7	5.5	2.7	-0.1	-6.5	-12.5
11.9	8.9	7.4	6	3.2	0.4	-6.3	-12.8
11.6	10.1	8.2	7	4.2	1.7	-4.8	-11.4
12.8	10.6	9.2	8.1	5.9	3.6	-2.4	-8.6
13.4	11.5	10.7	9.7	7.9	6	1.1	-4.3
13.9	12.9	12.5	11.9	10.8	9.7	6.5	2.8
15	15	15	15	15	15	15	15
16.3	17.7	18.4	19.2	20.8	22.6	28.1	28.9
17.4	20.6	22	23.6	27.1	30.9	42.8	44
18.3	22	24.1	26	30.4	35.2	44	44
18.4	22.1	24.2	26.1	30.3	34.8	44	44
18.2	21.5	23.3	25	28.6	32.5	42.9	44
18.4	19.9	22.1	23.6	26.4	29.5	37.7	44
17.2	19.4	20.8	21.9	24.2	26.6	32.5	38.8
16.6	18.2	19.2	20	21.6	23.2	27.3	31.3
16.1	17.1	17.3	17.8	18.6	19.5	21.6	23.5
15	15	15	15	15	15	15	15
