-23.6	-26.1	-27.4	-28.6	-31.1	-33.5	-39.3	-45
-24.4	-25.9	-27.5	-28.7	-31.1	-33.6	-39.1	-44.3
-23.2	-25.8	-26.9	-28	-30.1	-32.3	-37	-41.4
-22.6	-24.5	-25.5	-26.3	-27.9	-29.3	-32.8	-36
-22.1	-22.6	-23.2	-23.7	-24.5	-25.3	-27.1	-28.8
-21	-21	-21	-21	-21	-21	-21	-21
-19.9	-19.4	-18.9	-18.6	-17.9	-17.1	-15.3	-13.6
-19.4	-18.1	-17.3	-16.7	-15.2	-13.8	-10.3	-6.8
-18.8	-17	-16.2	-15.1	-13	-11.1	-5.9	-0.4
-17.6	-16.1	-14.5	-13.6	-11.2	-8.7	-1.7	5.7
-18.3	-15.5	-14.1	-12.7	-9.7	-6.6	1.8	11.4
-17.6	-14.5	-13.9	-12.1	-9	-5.6	4.2	15.8
-18.1	-15.5	-14.1	-12.6	-9.6	-6.3	3.6	15.9
-18.9	-17	-15.9	-14.7	-12.3	-9.7	-2.1	-0.6
-19.9	-18.9	-18.4	-17.8	-16.6	-15.3	-11.9	-11.9
-21	-21	-21	-21	-21	-21	-21	-21
-22.1	-22.6	-23.1	-23.6	-24.5	-25.5	-28.1	-30.1
-22.6	-23.9	-24.7	-25.5	-27.1	-28.7	-33	-37.6
-23.2	-25	-26.1	-26.9	-29	-30.9	-36.3	-41.7
-24.4	-25.6	-27.5	-28.1	-30.2	-32.7	-38.3	-44
-23.6	-26.1	-27.4	-28.6	-31.1	-33.5	-39.3	-45
