1	1	1	1	1	1	1	1
-0.3	-1.5	-2.1	-2.6	-3.7	-4.6	-6.9	-8.9
-1.4	-3.5	-4.6	-5.6	-7.6	-9.4	-13.6	-17.4
-1.9	-4.5	-6	-7.4	-9.7	-12.1	-17.7	-22.9
-2.4	-5.5	-6.4	-7.9	-10.4	-13.2	-19.6	-25.8
-1.9	-4.8	-6.2	-7.6	-10.4	-13.2	-20.1	-26.9
-2.4	-3.9	-5.8	-7	-9.8	-12.6	-19.5	-26.8
-1.2	-3.8	-4.9	-6.3	-8.8	-11.4	-18	-25.4
-1.1	-2.7	-3.8	-4.8	-6.9	-9.1	-15	-21.9
-0.1	-1.3	-1.9	-2.5	-3.9	-5.3	-9.4	-10.1
1	1	1	1	1	1	1	1
2.4	3.9	4.7	5.6	7.5	9.5	12.1	12.1
3.4	6.3	7.7	9.3	12.6	16.3	25.7	25.7
3.9	7.2	9.1	10.8	14.6	18.6	30.4	44
4.4	7.5	9	10.8	14.5	18.2	28.7	41
4	7	8.6	10.2	13.4	16.7	25.5	35.4
4.4	5.9	7.8	9.3	12.1	14.8	22	29.6
3.2	5.8	6.8	7.9	10.2	12.4	18.1	23.8
2.6	4.5	5.5	6.3	7.9	9.6	13.6	17.4
2.1	3.1	3.6	4	5	5.9	8	10
1	1	1	1	1	1	1	1
