-15	-18	-19.4	-20.8	-23.6	-26.3	-32.9	-39.2
-15.4	-18.5	-19.7	-21.2	-24	-26.7	-33	-38.9
-14.9	-17.9	-19.3	-20.7	-23.3	-25.6	-31.1	-36.1
-14.4	-16.5	-17.6	-18.4	-20.4	-22.2	-26.2	-29.9
-13.1	-14.2	-14.7	-15.2	-16.2	-17.1	-19.2	-21.1
-12	-12	-12	-12	-12	-12	-12	-12
-10.9	-10.4	-9.8	-9.3	-8.5	-7.6	-5.6	-3.6
-10.4	-8.8	-8	-7.2	-5.6	-4	0	4
-9.8	-7.6	-6.5	-5.4	-2.9	-0.7	5.2	11.4
-8.6	-7.1	-5.2	-3.7	-0.6	2.4	10.2	19.1
-8.9	-5.6	-3.9	-2.2	1.4	5.1	15.4	27.5
-8.6	-4.9	-3.1	-1.2	3	7.3	20	35.9
-8.7	-5.1	-3.3	-1.4	2.9	7.4	14.2	14.2
-9.6	-6.7	-5.3	-3.8	-0.6	1.8	1.8	1.8
-10.8	-9.5	-8.8	-8	-6.5	-5.8	-5.8	-5.8
-12	-12	-12	-12	-12	-12	-12	-12
-13.1	-14.1	-14.4	-15	-16	-17.1	-18.2	-18.2
-13.6	-15.5	-16.2	-17.1	-18.9	-20.7	-25.5	-25.8
-14.2	-16.4	-17.5	-18.6	-20.8	-23.3	-29.1	-35.1
-15.4	-16.9	-18.5	-20	-22.5	-25	-31.4	-37.8
-15	-18	-19.4	-20.8	-23.6	-26.3	-32.9	-39.2
