-23.3	-25.5	-26.6	-27.6	-29.7	-31.8	-36.7	-41.5
-24.4	-25.3	-25.9	-27.5	-29.3	-31.2	-35.8	-40.4
-23.2	-24.3	-25.4	-26.1	-27.9	-29.7	-33.5	-37.5
-22.6	-23.4	-24.2	-24.7	-26	-27.1	-30	-33
-22.1	-22.3	-22.6	-23.1	-23.6	-24.2	-25.8	-27.4
-21	-21	-21	-21	-21	-21	-21	-21
-19.9	-19.7	-19.4	-18.9	-18.4	-17.7	-15.9	-14
-19.4	-18.6	-17.8	-17	-15.7	-14.4	-10.7	-6.7
-18.8	-17	-16.2	-15.5	-13.3	-11.4	-5.9	0.4
-17.6	-16.4	-16.1	-14.2	-11.8	-9	-2	6.1
-18.6	-16.2	-14.9	-13.6	-10.9	-8.1	-0.4	8.6
-17.6	-16.4	-14.5	-13.9	-11.5	-9	-1.6	6.8
-18.8	-17	-16.2	-15.2	-13.3	-11.1	-5.3	1.3
-19.4	-18.6	-17.8	-17	-15.7	-14.1	-10.3	-6
-19.9	-19.7	-19.4	-18.9	-18.3	-17.6	-15.8	-13.7
-21	-21	-21	-21	-21	-21	-21	-21
-22.1	-22.3	-22.6	-23.1	-23.6	-24.2	-25.8	-27.5
-22.6	-23.4	-24.2	-24.7	-25.8	-27.1	-30	-33
-23.2	-24.3	-25.4	-26.1	-27.9	-29.4	-33.5	-37.4
-24.4	-25.3	-25.9	-27.5	-29.3	-31.1	-35.8	-40.4
-23.3	-25.5	-26.6	-27.6	-29.7	-31.8	-36.7	-41.5
