-5.2	-8.2	-9.6	-11	-13.8	-16.4	-22.5	-28.2
-5.4	-8.5	-9.7	-10.9	-13.7	-16.2	-22.1	-27.5
-4.9	-7.1	-8.2	-9.3	-11.8	-13.8	-18.9	-23.5
-3.6	-5.5	-6.3	-7.1	-8.6	-10.2	-13.7	-17
-3.1	-3.6	-4.1	-4.5	-5.3	-6	-7.9	-9.7
-2	-2	-2	-2	-2	-2	-2	-2
-0.9	-0.4	0.1	0.3	1.1	1.9	3.9	6
-0.4	0.9	1.7	2.5	4.1	5.8	10.1	14.7
0.2	2.4	3.8	4.9	7.2	9.8	16.8	24.6
1.4	4.5	5.4	7.2	10.3	14	23.9	35.8
1.4	4.9	6.8	8.7	12.8	17.2	30	44
1.4	5.1	6.9	8.8	13.1	17.7	31.3	44
0.9	3.8	5.3	7.1	10.5	14.2	25.2	39.5
-0.4	1.7	2.8	3.9	6	8.5	15.1	23.4
-0.9	-0.4	0.3	0.7	1.7	2.8	5.6	8.9
-2	-2	-2	-2	-2	-2	-2	-2
-3.1	-3.6	-4.1	-4.4	-5.2	-6	-8.1	-10.3
-3.6	-4.9	-5.7	-6.5	-7.9	-9.4	-13.1	-16.8
-4.2	-6.4	-7.5	-8.2	-10.4	-12.3	-17.3	-22
-5.4	-6.9	-8.8	-10	-12.5	-14.9	-20.5	-26
-5.2	-8.2	-9.6	-11	-13.8	-16.4	-22.5	-28.2
