4.2	0.6	-1.2	-2.9	-6.2	-9.3	-16.6	-23.3
4	0	-1.9	-3.7	-7	-10.2	-17.5	-23.9
4	0.7	-0.8	-2.3	-5.4	-8.2	-14.5	-20
5.6	3.2	2.1	0.9	-1.1	-3.1	-7.5	-11.5
6.9	5.8	5.2	4.7	3.7	2.8	0.5	-1.6
8	8	8	8	8	8	8	8
9.1	10.1	10.3	10.8	11.7	12.6	14.9	17.1
9.6	11.5	12.5	13.3	15.1	17	21.6	26.5
10.2	13.1	14.6	15.7	18.6	21.4	28.8	37.1
11.4	14.8	16.6	18.5	22.2	26.1	37.2	44
12.1	16.4	18.7	21	26	31.4	44	44
12.6	17.5	20	22.8	28.9	35.5	44	44
12	16.7	19	21.6	27.2	33.5	44	44
10.9	13.6	15.2	17	20.5	24.4	27.6	27.6
9.2	10.5	11.2	11.9	13.4	15	16.8	16.8
8	8	8	8	8	8	8	8
6.9	5.9	5.6	5.1	4	3	0.2	-0.8
6.4	4.5	3.5	2.7	0.9	-0.8	-5.4	-10.2
5.8	3.2	1.8	0.7	-1.8	-4.1	-10	-15.8
4.6	1.5	0.3	-1.2	-4	-7	-13.8	-20.2
4.2	0.6	-1.2	-2.9	-6.2	-9.3	-16.6	-23.3
