7	7	7	7	7	7	7	7
5.7	4.6	4	3.5	2.4	1.5	-0.8	-2.8
4.6	2.5	1.2	0.3	-1.7	-3.6	-7.8	-11.6
4.1	1.2	-0.3	-1.4	-4	-6.5	-12.2	-17.3
3.6	0.5	-0.7	-1.9	-4.7	-7.5	-14	-20.1
4	1.1	-0.3	-1.8	-4.6	-7.3	-14.1	-20.8
3.6	2.1	0.2	-1	-3.8	-6.5	-13.2	-20.1
4.8	2.2	1.2	0	-2.5	-5	-11.3	-18.1
5.4	3.3	2.5	1.4	-0.5	-2.6	-8.1	-14.3
5.9	4.8	4.3	3.7	2.4	1.1	-2.6	-5
7	7	7	7	7	7	7	7
8.4	9.9	10.7	11.5	13.3	15.3	19	19
9.4	12.6	14	15.6	19	22.8	33.9	33.9
10.3	13.6	15.4	17.3	21.4	25.8	38.7	44
10.4	13.8	15.6	17.2	21.1	25.2	36.6	44
10.1	13.2	14.8	16.5	19.8	23.3	32.8	43.4
10.4	11.9	13.8	15.3	18.1	21.1	28.6	36.7
9.2	11.4	12.8	13.9	16.1	18.4	24.2	30.1
8.6	10.5	11.3	12.1	13.7	15.4	19.4	23.3
8.1	9.1	9.5	9.9	10.8	11.7	13.8	15.8
7	7	7	7	7	7	7	7
