17.3	12.9	10.8	8.8	4.9	1.3	-7.1	-14.6
17.1	11.9	9.7	7.6	3.5	-0.2	-8.6	-15.8
17.6	13.3	11.4	9.6	6	2.8	-4.3	-10.5
19.1	16.4	15.3	14	11.7	9.5	4.5	0.1
20.7	19.5	18.9	18.4	17.3	16.2	13.7	11.4
22	22	22	22	22	22	22	22
23.1	24.1	24.6	25.1	26.1	27.1	29.7	32.3
24.1	26	27	28.1	30	32.2	37.6	43.4
24.9	27.9	29.3	31.1	34.4	37.6	44	44
26	30	32.2	34.6	39.2	43.9	43.9	43.9
27.1	32.5	35.5	38.5	44	44	44	44
28.5	34.3	37.7	41.4	43.9	43.9	43.9	43.9
27.1	32.6	35.8	38.9	44	44	44	44
25.2	28.4	30.3	32.2	36.2	40.8	41.6	41.6
23.3	24.7	25.5	26.2	27.8	29.6	30.8	30.8
22	22	22	22	22	22	22	22
20.9	19.9	19.3	18.8	17.7	16.6	13.6	13.2
19.9	18	17.2	16.1	14.2	12.2	7.3	2.4
19.1	16.5	15	13.6	11	8.4	1.9	-4.4
18.3	14.6	12.8	11.2	7.8	4.7	-3	-10.1
17.3	12.9	10.8	8.8	4.9	1.3	-7.1	-14.6
