-8	-10.9	-12.3	-13.7	-16.3	-18.8	-24.8	-30.4
-8.4	-11.5	-12.4	-13.6	-16.1	-18.8	-24.5	-29.8
-7.2	-10.1	-11.2	-12.3	-14.5	-16.6	-21.5	-26
-6.6	-8.5	-9.2	-10	-11.6	-13	-16.5	-19.8
-6.1	-6.6	-7.1	-7.5	-8.2	-9	-10.8	-12.6
-5	-5	-5	-5	-5	-5	-5	-5
-3.9	-3.5	-2.9	-2.7	-1.9	-1.2	0.8	2.8
-3.4	-2.1	-1.3	-0.5	1.1	2.5	6.6	11
-2.8	-0.6	0.5	1.6	3.8	6.4	12.9	20.1
-1.6	-0.1	2.1	3.6	6.7	10.1	19.2	30.2
-1.8	1.6	3.3	5.1	9	13.1	24.8	39.5
-1.6	1.8	3.6	5.5	9.4	13.7	26.5	43
-2.1	0.5	2.3	3.8	7.1	10.8	21.5	35.2
-3.4	-1.3	-0.2	0.8	3	5.4	12.1	20.3
-3.9	-3.4	-2.8	-2.3	-1.3	-0.2	2.7	6.1
-5	-5	-5	-5	-5	-5	-5	-5
-6.1	-6.6	-7.1	-7.3	-8.1	-8.9	-11	-13.3
-6.6	-7.9	-8.7	-9.3	-10.8	-12.2	-15.9	-19.7
-7.2	-9	-10.1	-11.2	-13.1	-15.2	-19.9	-24.7
-8.4	-9.9	-11.5	-12.7	-15.1	-17.3	-23.1	-28.4
-8	-10.9	-12.3	-13.7	-16.3	-18.8	-24.8	-30.4
