9.8	5.8	3.9	2	-1.6	-5	-13	-20.3
9.4	4.8	2.9	0.8	-3	-6.5	-14.5	-21.6
9.6	5.6	3.7	1.9	-1.6	-4.7	-11.7	-17.8
11.1	8.2	7	5.7	3.4	1.2	-3.8	-8.1
12.7	11.4	10.8	10.3	9.1	8.1	5.6	3.3
14	14	14	14	14	14	14	14
15.1	16.1	16.6	17.1	18.1	19	21.5	23.9
16.1	17.7	18.8	19.8	21.7	23.7	28.7	33.9
16.9	19.5	21	22.4	25.4	28.4	36.4	44
17.7	21.4	23.2	25.4	29.4	33.7	44	44
18.5	23.3	25.8	28.4	33.9	39.9	44	44
18.9	24.8	27.9	31.2	38.2	44	44	44
18.8	24.3	27.4	30.5	37.6	40.2	40.2	40.2
17.2	20.9	22.8	24.8	27.8	27.8	27.8	27.8
15.4	16.9	17.7	18.5	20.2	20.2	20.2	20.2
14	14	14	14	14	14	14	14
12.9	11.9	11.3	10.8	9.6	8.4	7.8	7.8
11.9	10.3	9.2	8.2	6.3	4.3	0.2	0.2
11.1	8.5	7.4	6	3.4	0.8	-5.6	-12
10.6	7.2	5.7	3.9	0.8	-2.3	-9.7	-16.7
9.8	5.8	3.9	2	-1.6	-5	-13	-20.3
