1.4	-2.1	-3.8	-5.4	-8.5	-11.5	-18.6	-25.1
1	-2.7	-4.2	-6.1	-9.2	-12.3	-19.2	-25.5
1.7	-1.9	-3.4	-4.8	-7.7	-10.3	-16.3	-21.6
2.6	0.5	-0.6	-1.7	-3.7	-5.5	-9.8	-13.7
3.9	2.9	2.3	1.8	0.9	0	-2.2	-4.2
5	5	5	5	5	5	5	5
6.1	6.6	7.2	7.7	8.6	9.5	11.7	13.8
6.6	8.5	9.3	10.1	11.9	13.6	18.2	22.9
7.2	9.8	11.2	12.7	15.2	17.8	25.1	33
8.4	11.5	13.3	14.9	18.6	22.3	32.9	44
8.9	13	15.1	17.4	22.1	27.1	41.9	44
9.3	13.9	16.4	18.9	24.4	30.5	44	44
9	13	15.3	17.7	22.8	28.5	44	44
7.4	10.3	11.9	13.4	16.7	20.3	26.1	26.1
6.2	7.4	8.1	8.7	10.1	11.6	14.4	14.4
5	5	5	5	5	5	5	5
3.9	2.9	2.7	2.2	1.2	0.2	-2.5	-4.4
3.4	1.5	0.7	-0.1	-1.9	-3.6	-8	-12.6
2.8	0.2	-0.9	-2	-4.5	-6.7	-12.4	-18.1
1.6	-1.5	-2.4	-3.9	-6.7	-9.4	-16	-22.3
1.4	-2.1	-3.8	-5.4	-8.5	-11.5	-18.6	-25.1
